year,poor,population,effective_headcount
1981,3081438980.61534,4519866000,0.681754499052702
1982,3148334719.43543,4600750000,0.684309019058942
1983,3220795732.32737,4683287000,0.687721195034037
1984,3281575658.18454,4768029000,0.6882457422521
1985,3338008089.6363,4860304000,0.686789980551895
1986,3378873269.13892,4950105000,0.682586181331288
1987,3459350320.66755,5041985000,0.686108808468798
1988,3528044315.03686,5134819000,0.687082507686612
1989,3594167312.79694,5226937000,0.687623997151093
1990,3666411798.04131,5317138000,0.689546105074066
1991,3753660265.63391,5404980000,0.694481804860317
1992,3841517659.09194,5490640000,0.699648430618643
1993,3933843029.04094,5575464000,0.705563344869762
1994,3995173538.49494,5657703000,0.70614762536933
1995,4016819720.51235,5738793000,0.699941559228979
1996,4075225196.96127,5818731000,0.700363223005371
1997,4100799089.96553,5897487000,0.695346863836331
1998,4144073739.25786,5975480000,0.693513113466677
1999,4223026755.34502,6053174000,0.697654941910643
2000,4220367672.91355,6131859000,0.688268871302087
2001,4235480561.92195,6209960000,0.682046351654754
2002,4230213279.57999,6288394000,0.672701691334861
2003,4254197623.7989,6367358000,0.668126030262301
2004,4219010671.30576,6447008000,0.654413748409458
2005,4173928294.17316,6527446000,0.639442791893362
2006,4145084620.53025,6608764000,0.627210265116177
2007,4096575783.13555,6690936000,0.612257505248227
2008,4083503205.99991,6783142000,0.602007625079928
2009,4077675595.45082,6867100000,0.5937987790262
2010,4004591180.07407,6951535000,0.576072936419664
2011,3944797255.06726,7036357000,0.560630629609506
2012,3900561543.49485,7121512000,0.547715364868423
2013,3825388403.03041,7206752000,0.530806166637954
2014,3786865472.86057,7291762000,0.519334760632693
2015,3761378412.9511,7376300000,0.509927526395497
2016,3733463499.07139,7460244000,0.500447907477475
2017,3699083900.55524,7543533000,0.49036491264176
2018,3632217677.3368,7626067000,0.476289767364593
2019,3601332119.57188,7707806000,0.467231806245757
2020,3692860533.50979,7783779000,0.474430290673693
2021,3673966403.64224,7979964000,0.460398869423752
2022,3632824415.74237,8060560000,0.450691318685348
2023,3618337534.81041,8140163000,0.444504309656994
2024,3599491029.07099,8218789000,0.437958807443651
2025,3574303510.5267,8296444000,0.43082355651731
2026,3544713280.00126,8373097000,0.423345541082501
2027,3512856758.42535,8448744000,0.415784495118488
2028,3476943519.26656,8523363000,0.407930944542261
