country_code,year,region_name,region_code,country_name,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr
AGO,2023,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,6.952,0.8154,0.4836,0.3352,0.9087,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
AGO,2024,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,6.936,0.8148,0.4828,0.3345,0.9069,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
AGO,2025,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,6.914,0.8143,0.4818,0.3336,0.9043,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
AGO,2026,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,6.888,0.8138,0.4805,0.3324,0.9012,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
AGO,2027,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,6.856,0.812,0.479,0.3311,0.8974,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
AGO,2028,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,6.82,0.8086,0.4772,0.3295,0.8931,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
ALB,2023,Europe & Central Asia,ECA,Albania,2022,national,,,,consumption,,,6.625,0.0958,0.0209,0.0069,0.0257,15.3611,13.2731,,,,,,,,,,,,,,,50.3574,2777689,5155.2909,3997.5921,TRUE,micro,extrapolation,7.787,0.1538
ALB,2024,Europe & Central Asia,ECA,Albania,2022,national,,,,consumption,,,6.422,0.0876,0.0187,0.006,0.0229,15.3611,13.2731,,,,,,,,,,,,,,,50.3574,2777689,5155.2909,3997.5921,TRUE,micro,extrapolation,7.787,0.1538
ALB,2025,Europe & Central Asia,ECA,Albania,2022,national,,,,consumption,,,6.218,0.077,0.0166,0.0053,0.0202,15.3611,13.2731,,,,,,,,,,,,,,,50.3574,2777689,5155.2909,3997.5921,TRUE,micro,extrapolation,7.787,0.1538
ALB,2026,Europe & Central Asia,ECA,Albania,2022,national,,,,consumption,,,6.019,0.0704,0.0147,0.0046,0.0179,15.3611,13.2731,,,,,,,,,,,,,,,50.3574,2777689,5155.2909,3997.5921,TRUE,micro,extrapolation,7.787,0.1538
ALB,2027,Europe & Central Asia,ECA,Albania,2022,national,,,,consumption,,,5.824,0.0629,0.013,0.0039,0.0157,15.3611,13.2731,,,,,,,,,,,,,,,50.3574,2777689,5155.2909,3997.5921,TRUE,micro,extrapolation,7.787,0.1538
ALB,2028,Europe & Central Asia,ECA,Albania,2022,national,,,,consumption,,,5.635,0.059,0.0114,0.0034,0.0137,15.3611,13.2731,,,,,,,,,,,,,,,50.3574,2777689,5155.2909,3997.5921,TRUE,micro,extrapolation,7.787,0.1538
ARE,2023,Other High Income Countries,OHI,United Arab Emirates,2022,national,,,,income,,,6.77,0.003,4e-04,1e-04,5e-04,82.5992,75.6282,,,,,,,,,,,,,,,2.8348,9441129,45698.0105,,TRUE,group,extrapolation,38.964,0.1032
ARE,2024,Other High Income Countries,OHI,United Arab Emirates,2022,national,,,,income,,,6.644,0.0028,3e-04,0,4e-04,82.5992,75.6282,,,,,,,,,,,,,,,2.8348,9441129,45698.0105,,TRUE,group,extrapolation,38.964,0.1032
ARE,2025,Other High Income Countries,OHI,United Arab Emirates,2022,national,,,,income,,,6.513,0.0025,3e-04,0,3e-04,82.5992,75.6282,,,,,,,,,,,,,,,2.8348,9441129,45698.0105,,TRUE,group,extrapolation,38.964,0.1032
ARE,2026,Other High Income Countries,OHI,United Arab Emirates,2022,national,,,,income,,,6.379,0.0023,2e-04,0,3e-04,82.5992,75.6282,,,,,,,,,,,,,,,2.8348,9441129,45698.0105,,TRUE,group,extrapolation,38.964,0.1032
ARE,2027,Other High Income Countries,OHI,United Arab Emirates,2022,national,,,,income,,,6.242,0.002,2e-04,0,2e-04,82.5992,75.6282,,,,,,,,,,,,,,,2.8348,9441129,45698.0105,,TRUE,group,extrapolation,38.964,0.1032
ARE,2028,Other High Income Countries,OHI,United Arab Emirates,2022,national,,,,income,,,6.103,0.0017,1e-04,0,2e-04,82.5992,75.6282,,,,,,,,,,,,,,,2.8348,9441129,45698.0105,,TRUE,group,extrapolation,38.964,0.1032
