country_code,year,region_name,region_code,country_name,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr
AGO,2023,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,2.182,0.358,0.1426,0.0767,0.2191,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
AGO,2024,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,2.177,0.3569,0.1421,0.0764,0.2182,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
AGO,2025,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,2.17,0.3556,0.1414,0.076,0.2171,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
AGO,2026,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,2.162,0.354,0.1406,0.0755,0.2158,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
AGO,2027,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,2.152,0.351,0.1397,0.0749,0.2141,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
AGO,2028,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,2.141,0.3474,0.1386,0.0743,0.2124,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
ALB,2023,Europe & Central Asia,ECA,Albania,2022,national,,,,consumption,,,2.08,0,0,0,0,15.3611,13.2731,,,,,,,,,,,,,,,50.3574,2777689,5155.2909,3997.5921,TRUE,micro,extrapolation,7.787,0.1538
ALB,2024,Europe & Central Asia,ECA,Albania,2022,national,,,,consumption,,,2.016,0,0,0,0,15.3611,13.2731,,,,,,,,,,,,,,,50.3574,2777689,5155.2909,3997.5921,TRUE,micro,extrapolation,7.787,0.1538
ALB,2025,Europe & Central Asia,ECA,Albania,2022,national,,,,consumption,,,1.952,0,0,0,0,15.3611,13.2731,,,,,,,,,,,,,,,50.3574,2777689,5155.2909,3997.5921,TRUE,micro,extrapolation,7.787,0.1538
ALB,2026,Europe & Central Asia,ECA,Albania,2022,national,,,,consumption,,,1.889,0,0,0,0,15.3611,13.2731,,,,,,,,,,,,,,,50.3574,2777689,5155.2909,3997.5921,TRUE,micro,extrapolation,7.787,0.1538
ALB,2027,Europe & Central Asia,ECA,Albania,2022,national,,,,consumption,,,1.828,0,0,0,0,15.3611,13.2731,,,,,,,,,,,,,,,50.3574,2777689,5155.2909,3997.5921,TRUE,micro,extrapolation,7.787,0.1538
ALB,2028,Europe & Central Asia,ECA,Albania,2022,national,,,,consumption,,,1.769,0,0,0,0,15.3611,13.2731,,,,,,,,,,,,,,,50.3574,2777689,5155.2909,3997.5921,TRUE,micro,extrapolation,7.787,0.1538
AGO,2023,Sub-Saharan Africa,SSA,Angola,2022,national,,,,consumption,,,2.182,0.358,0.1426,0.0767,0.2191,4.9564,3.0923,,,,,,,,,,,,,,,107.27,35588987,2385.12,1323.417,TRUE,micro,extrapolation,2.696,0.4402
